formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C12H9NO	[M + H]+	C12H10NO+	Alkaloids	0.979	Tryptophan alkaloids	0.750	Simple indole alkaloids	0.704	Organoheterocyclic compounds	0.996	Indoles and derivatives	0.803	Indoles	0.839			Indoles	0.839	Organic compounds; Organoheterocyclic compounds; Pyrroles; Aldehydes; Indoles and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Aryl-aldehydes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	184.076	602	10.029	857323181386709531	857316089069596715	857316089069596714	12638	
1	C11H24N2O2	[M + H]+	C11H25N2O2+	Fatty acids	0.393	Fatty amides	0.157	Primary amides	0.044	Organic acids and derivatives	0.972	Organic carbonic acids and derivatives	0.909	Ureas	0.822			Ureas	0.822	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.191	602	10.040	857323174411581965	857316089124122671	857316089124122670	12647	
8	C18H16N2O3S	[M + Na]+	C18H16N2NaO3S+	Shikimates and Phenylpropanoids	0.168	Coumarins	0.131	Simple coumarins	0.436	Benzenoids	0.983	Benzene and substituted derivatives	0.617					Benzene and substituted derivatives	0.617	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	363.076	604	10.073	857323190685481524	857316089178648627	857316089174454322	12656	
1	C14H8O3	[M + H]+	C14H9O3+	Polyketides	0.754	Polycyclic aromatic polyketides	0.573	Anthraquinones and anthrones	0.754	Benzenoids	0.998	Phenanthrenes and derivatives	0.578					Phenanthrenes and derivatives	0.578	Organic compounds; Naphthalenes; Phenanthrenes and derivatives; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Benzenoids; Aryl ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	225.055	604	10.074	857323191562091072	857316089233174583	857316089233174582	12699	
2	C14H15FN2O2S	[M + Na]+	C14H15FN2NaO2S+	Alkaloids	0.578	Anthranilic acid alkaloids	0.261	Quinazoline alkaloids	0.045	Organohalogen compounds	0.999	Aryl halides	0.954	Aryl fluorides	0.954			Aryl fluorides	0.954	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl fluorides; Carboxylic acid derivatives; Organofluorides; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	317.071	606	10.093	857323229478615285	857316089325449279	857316089325449278	12679	
1	C10H20Cl4O8P2	[M + H]+	C10H21Cl4O8P2+	Fatty acids	0.921	Glycerophospholipids	0.031	Halogenated fatty acids	0.054	Organic acids and derivatives	0.990	Organic phosphoric acids and derivatives	0.905	Phosphate esters	0.869	Alkyl phosphates	0.883	Trialkyl phosphates	0.877	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl chlorides; Organochlorides; Alkyl halides; Alkyl phosphates; Trialkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	470.946	606	10.098	857323224772604595	857316089371586627	857316089371586626	12685	
1	C10H18O	[M + H]+	C10H19O+	Fatty acids	0.936	Fatty acyls	0.950	Fatty aldehydes	0.626	Organic oxygen compounds	0.996	Organooxygen compounds	0.994					Organooxygen compounds	0.994	Organic compounds; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.143	606	10.105	857323659419941289	857316089526775887	857316089526775886	12734	
1	C17H29N	[M + H]+	C17H30N+	Alkaloids	0.872	Nicotinic acid alkaloids	0.794	Pyridine alkaloids	0.793	Benzenoids	0.554							Benzenoids	0.554	Organic compounds; Organonitrogen compounds; Benzenoids; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	248.237	607	10.116	857323661391264446	857316089585496147	857316089581301842	12752	
1	C11H14N2OS2	[M + H]+	C11H15N2OS2+	Alkaloids	0.552	Nicotinic acid alkaloids	0.148	Pyridine alkaloids	0.147	Organoheterocyclic compounds	0.993	Thiophenes	0.693					Thiophenes	0.693	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiophenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	255.062	610	10.175	857323688884929322	857316089635827799	857316089631633494	12809	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.455	Small peptides	0.267	Aminoacids	0.182	Organic acids and derivatives	0.947	Carboxylic acids and derivatives	0.947	Amino acids, peptides, and analogues	0.687	Amino acids and derivatives	0.688	Amino acids and derivatives	0.688	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	610	10.175	857323683059038931	857316089686159451	857316089686159450	12761	
1	C14H28S	[M + H]+	C14H29S+	Terpenoids	0.743	Monoterpenoids	0.561	Monocyclic monoterpenoids	0.121	Organoheterocyclic compounds	0.776							Organoheterocyclic compounds	0.776	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thioethers; Dialkylthioethers; Hydrocarbon derivatives; Chemical entities	229.199	611	10.177	857323729431275580	857316089732296799	857316089732296798	12788	
3	C15H30N6	[M + Na]+	C15H30N6Na+	Alkaloids	0.940	Ornithine alkaloids	0.257	Polyamines	0.541	Organoheterocyclic compounds	0.476	Triazines	0.501	1,3,5-triazines	0.565			1,3,5-triazines	0.565	Organic compounds; Triazines; Organonitrogen compounds; Amines; 1,3,5-triazines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	317.243	611	10.180	857323741179521224	857316089774239843	857316089774239842	12796	
1	C13H18O3	[M + H]+	C13H19O3+	Polyketides	0.378	Sesquiterpenoids	0.126	Bisabolane sesquiterpenoids	0.039	Benzenoids	0.910	Benzene and substituted derivatives	0.831	Benzoyl derivatives	0.665			Benzoyl derivatives	0.665	Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	223.133	611	10.182	857323740546181308	857316089820377191	857316089816182886	12811	
1	C15H32N2O2	[M + H]+	C15H33N2O2+	Fatty acids	0.965	Fatty amides	0.895	Primary amides	0.055	Lipids and lipid-like molecules	0.808	Fatty Acyls	0.763	Fatty amides	0.736	N-acyl amines	0.584	N-acyl amines	0.584	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	273.254	614	10.232	857323753561106682	857316089858125931	857316089858125930	12869	
1	C14H25NO2	[M + H]+	C14H26NO2+	Alkaloids	0.630	Lysine alkaloids	0.571	Piperidine alkaloids	0.166	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.818	Amino acids and derivatives	0.819	Amino acids and derivatives	0.819	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	240.196	616	10.272	857323741833832656	857316089904263279	857316089904263278	12929	
1	C12H25NO3	[M + H]+	C12H26NO3+	Fatty acids	0.893	Fatty amides	0.448	N-acyl amines	0.190	Organic acids and derivatives	0.772	Carboxylic acids and derivatives	0.753	Amino acids, peptides, and analogues	0.593	Amino acids and derivatives	0.593	Amino acids and derivatives	0.593	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	232.191	620	10.334	857323729796180032	857316089950400627	857316089950400626	13083	
11	C18H15OP	[M + H]+	C18H16OP+	Shikimates and Phenylpropanoids	0.088	Flavonoids	0.009	Chalcones	0.006	Benzenoids	0.998	Benzene and substituted derivatives	0.988	Phenylphosphines and derivatives	0.917			Phenylphosphines and derivatives	0.917	Organic compounds; Organophosphorus compounds; Phenylphosphines and derivatives; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	279.094	620	10.335	857323777095347473	857316089992343671	857316089992343670	12974	
2	C18H36O4	[M + C2H3N + H]+	C20H40NO4+	Fatty acids	0.997	Fatty acyls	0.738	Fatty alcohols	0.930	Lipids and lipid-like molecules	0.985	Fatty Acyls	0.979	Fatty alcohols	0.733	Long-chain fatty alcohols	0.725	Long-chain fatty alcohols	0.725	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Fatty alcohols; Secondary alcohols; Fatty alcohol esters; Carbonyl compounds; Polyols; 1,2-diols; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	358.295	622	10.364	857323758585883495	857316090038481019	857316090038481018	13100	
1	C10H16O	[M + H]+	C10H17O+	Terpenoids	0.971	Monoterpenoids	0.464	Pinane monoterpenoids	0.076	Lipids and lipid-like molecules	0.565	Prenol lipids	0.594					Prenol lipids	0.594	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	153.127	634	10.572	857323732010772551	857316090084618367	857316090080424062	13339	
7	C8H14O5S	[M + H]+	C8H15O5S+	Fatty acids	0.298	Macrolides	0.226	Simple phenolic acids	0.118	Benzenoids	0.512	Benzene and substituted derivatives	0.650					Benzene and substituted derivatives	0.650	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acid esters; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	223.064	635	10.589	857323762847296472	857316090130755715	857316090130755714	13332	
1	C11H23NO2	[M + H]+	C11H24NO2+	Fatty acids	0.901	Fatty amides	0.815	N-acyl amines	0.400	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.990	Amino acids, peptides, and analogues	0.737	Amino acids and derivatives	0.735	Alpha amino acids and derivatives	0.595	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.180	635	10.589	857323731838806084	857316090172698759	857316090172698758	13423	
1	C13H22O2	[M + H]+	C13H23O2+	Fatty acids	0.741	Fatty Acids and Conjugates	0.403	Unsaturated fatty acids	0.426	Lipids and lipid-like molecules	0.639							Lipids and lipid-like molecules	0.639	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	211.169	636	10.599	857323745428351191	857316090218836107	857316090218836106	13450	
1	C7H10	[M + H]+	C7H11+	Fatty acids	0.841	Fatty acyls	0.844	Hydrocarbons	0.237	Hydrocarbons	0.991	Unsaturated hydrocarbons	0.963	Olefins	0.604			Olefins	0.604	Organic compounds; Hydrocarbons; Olefins; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	95.086	636	10.607	857323731960440902	857316090264973455	857316090260779150	13462	
1	C11H22N3O2	[M + H]+	C11H23N3O2+	Alkaloids	0.708	Small peptides	0.191	Polyamines	0.058	Organoheterocyclic compounds	0.472	Azacyclic compounds	0.528					Azacyclic compounds	0.528	Organic compounds; Organonitrogen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	229.180	636	10.608	857323766160796905	857316090311110803	857316090311110802	13487	
1	C13H18	[M + H]+	C13H19+	Terpenoids	0.995	Sesquiterpenoids	0.968	Caryophyllane sesquiterpenoids	0.346	Lipids and lipid-like molecules	0.789	Prenol lipids	0.772	Sesquiterpenoids	0.643			Sesquiterpenoids	0.643	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Sesquiterpenoids; Hydrocarbons; Olefins; Cyclic olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Branched unsaturated hydrocarbons; Chemical entities	175.148	637	10.609	857323746468538589	857316090357248151	857316090357248150	13473	
1	C13H20O	[M + H]+	C13H21O+	Terpenoids	0.965	Sesquiterpenoids	0.720	Pinane monoterpenoids	0.071	Lipids and lipid-like molecules	0.643	Prenol lipids	0.631					Prenol lipids	0.631	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	193.159	637	10.610	857323751916939500	857316090457911451	857316090457911450	13468	
1	C13H28OSi	[M + H]+	C13H29OSi+	Terpenoids	0.646	Monoterpenoids	0.567	Halogenated fatty acids	0.527	Organic oxygen compounds	0.965	Organooxygen compounds	0.894					Organooxygen compounds	0.894	Organic compounds; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	229.199	637	10.611	857323746636310757	857316090512437407	857316090512437406	13460	
1	C13H25NO2	[M + H]+	C13H26NO2+	Fatty acids	0.712	Fatty Acids and Conjugates	0.333	Aminoacids	0.317	Organic acids and derivatives	0.877	Carboxylic acids and derivatives	0.888	Amino acids, peptides, and analogues	0.564	Amino acids and derivatives	0.564	Amino acids and derivatives	0.564	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.196	637	10.612	857323736603535546	857316090617295011	857316090617295010	13474	
2	C6H14Si	[M + C2H3N + H]+	C8H18NSi+	Fatty acids	0.870	Fatty acyls	0.843	Halogenated fatty acids	0.281	Hydrocarbon derivatives	0.999							Hydrocarbon derivatives	0.999	Organic compounds; Hydrocarbon derivatives; Chemical entities	156.120	641	10.680	857323748003653866	857316090684403879	857316090684403878	13535	
8	C6H18O3Si3	[M + H]+	C6H19O3Si3+	Fatty acids	0.561	Monoterpenoids	0.295	Halogenated fatty acids	0.238	Organometallic compounds	0.783	Organometalloid compounds	0.783					Organometalloid compounds	0.783	Organic compounds; Organometallic compounds; Organometalloid compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	223.064	643	10.708	857323799249664360	857316090743124139	857316090743124138	13573	
1	C6H13NSi	[M + H]+	C6H14NSi+	Alkaloids	0.794	Fatty acyls	0.102	Phenylethylamines	0.043	Organic nitrogen compounds	0.972	Organonitrogen compounds	0.973	Amines	0.725			Amines	0.725	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	128.089	645	10.754	857323820774832513	857316090793455791	857316090793455790	13660	
1	C7H13FO	[M + H]+	C7H14FO+	Fatty acids	0.539	Fatty Acids and Conjugates	0.084	Halogenated fatty acids	0.484	Benzenoids	0.869	Benzene and substituted derivatives	0.883	Halobenzenes	0.712	Fluorobenzenes	0.742	Fluorobenzenes	0.742	Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl fluorides; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	133.104	647	10.791	857323768174062852	857316090843787443	857316090843787442	13693	
1	C16H24O4	[M + H]+	C16H25O4+	Terpenoids	0.890	Sesquiterpenoids	0.675	Macrolide lactones	0.089	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.981	Ketones	0.802	Cyclohexenones	0.513	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	281.175	649	10.825	857323803272001911	857316090889924791	857316090889924790	13727	
1	C4H9NSi	[M + H]+	C4H10NSi+	Fatty acids	0.820	Fatty acyls	0.651	Halogenated fatty acids	0.239	Organic nitrogen compounds	0.622	Organonitrogen compounds	0.621					Organonitrogen compounds	0.621	Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	100.058	650	10.828	857323842543270276	857316090940256443	857316090940256442	13728	
1	C14H31NO	[M + H]+	C14H32NO+	Fatty acids	0.982	Spingolipids	0.768	Sphingoid bases	0.973	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.997	Alkanolamines	0.928	1,2-aminoalcohols	0.897	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.248	650	10.832	857323936021723530	857316090982199487	857316090982199486	13621	
1	C12H27N	[M + H]+	C12H28N+	Alkaloids	0.970	Ornithine alkaloids	0.507	Polyamines	0.825	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.991	Secondary amines	0.610	Dialkylamines	0.626	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities	186.222	653	10.880	857323880858237321	857316091028336835	857316091028336834	13792	
1	C12H25NO2	[M + H]+	C12H26NO2+	Fatty acids	0.917	Fatty esters	0.254	Wax monoesters	0.161	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Carboxylic acid derivatives	0.991	Carboxylic acid amides	0.901	Secondary carboxylic acid amides	0.741	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	216.196	653	10.881	857323862441048455	857316091082862791	857316091082862790	13848	
1	C20H43NO4	[M + H]+	C20H44NO4+	Fatty acids	0.846	Spingolipids	0.100	Sphingoid bases	0.446	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.896	1,2-aminoalcohols	0.880	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	362.326	656	10.936	857324067857090503	857316091124805835	857316091124805834	13857	
1	C16H35NO3	[M + H]+	C16H36NO3+	Fatty acids	0.965	Spingolipids	0.655	Sphingoid bases	0.958	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.991	1,2-aminoalcohols	0.991	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	290.269	657	10.950	857324099796715480	857316091170943183	857316091170943182	13882	
1	C14H29NO3	[M + H]+	C14H30NO3+	Fatty acids	0.992	Fatty amides	0.993	N-acyl ethanolamines (endocannabinoids)	0.973	Lipids and lipid-like molecules	0.961	Fatty Acyls	0.969	Fatty amides	0.966	N-acyl amines	0.979	N-acyl amines	0.979	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	260.222	658	10.974	857324096386746323	857316091217080531	857316091212886226	13913	
1	C14H25NO2	[M + H]+	C14H26NO2+	Fatty acids	0.627	Fatty amides	0.225	Pyrrolidine alkaloids	0.173	Organic acids and derivatives	0.974	Carboxylic acids and derivatives	0.956	Carboxylic acid derivatives	0.807	Carboxylic acid esters	0.535	Carboxylic acid esters	0.535	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	240.196	659	10.985	857324112761310022	857316091263217879	857316091263217878	13916	
6	C12H27OP	[M + H]+	C12H28OP+	Fatty acids	0.474	Fatty acyls	0.095	Hydrocarbons	0.003	Organophosphorus compounds	0.995	Organic phosphines and derivatives	0.731	Organophosphine oxides	0.936			Organophosphine oxides	0.936	Organic compounds; Organophosphorus compounds; Organic phosphines and derivatives; Organophosphine oxides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities	219.187	665	11.081	857324117148552018	857316091305160923	857316091305160922	14025	
1	C13H29N	[M + H]+	C13H30N+	Alkaloids	0.920	Ornithine alkaloids	0.144	Polyamines	0.305	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.996	Primary amines	0.972	Monoalkylamines	0.955	Organic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	200.237	666	11.103	857324123892993244	857316091351298271	857316091351298270	14072	
1	C16H33NO3	[M + H]+	C16H34NO3+	Fatty acids	0.997	Fatty amides	0.983	N-acyl amines	0.676	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.986	Amino acids, peptides, and analogues	0.698	Amino acids and derivatives	0.697	Alpha amino acids and derivatives	0.650	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	288.253	666	11.108	857324170458159554	857316091443572967	857316091443572966	14130	
1	C11H10N4O4	[M + H]+	C11H11N4O4+	Alkaloids	0.899	Histidine alkaloids	0.120	Imidazole alkaloids	0.120	Benzenoids	0.994	Benzene and substituted derivatives	0.892	Nitrobenzenes	0.928			Nitrobenzenes	0.928	Organic compounds; Organoheterocyclic compounds; Nitrobenzenes; Imidazoles; Organonitrogen compounds; Azoles; Organic nitro compounds; Organic oxoazanium compounds; Benzene and substituted derivatives; Substituted imidazoles; Benzenoids; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	263.077	668	11.127	857324199751189630	857316091489710315	857316091489710314	14125	
